id,password,firstName,lastName,phoneNumber,nationality,birthdate,dadName,dadBirthdate,momName,momBirthdate,admin
1,123456,Riri,Duck,3213213213,USA,2000-06-13,NULL,NULL,Della,1980-06-09,y
2,123456,Fifi,Duck,3213213213,USA,2000-06-13,NULL,NULL,Della,1980-06-09,y
3,123456,Loulou,Duck,3213213213,USA,2000-06-13,NULL,NULL,Della,1980-06-09,y
4,123456,Della,Duck,3213213213,USA,1980-06-09,Rodolphe,1951-05-22,Hortense,1954-02-02,n
5,123456,Donald,Duck,3213213213,USA,1974-02-14,Rodolphe,1951-05-22,Hortense,1954-02-02,y
6,123456,Rodolphe,Duck,3213213213,USA,1951-05-22,Joseph,1922-05-22,Elvire,1924-02-02,n
7,123456,Hortense,Picsou,3213213213,Scotland,1954-02-02,Fergus,1922-05-22,Edith,1924-02-02,n
8,123456,Fergus,Picsou,3213213213,Scotland,1922-05-22,Willie,1895-05-22,Molly,1895-02-02,y
9,123456,Edith,O'Drake,3213213213,Scotland,1924-02-02,NULL,NULL,NULL,NULL,n
10,123456,Balthazar,Picsou,3213213213,Scotland,1954-02-02,Fergus,1922-05-22,Edith,1924-02-02,y
11,123456,Mathilda,Picsou,3213213213,Scotland,1956-11-14,Fergus,1922-05-22,Edith,1924-02-02,n
12,123456,Joseph,Duck,3213213213,USA,1922-05-22,NULL,NULL,NULL,NULL,n
13,123456,Elvire,Ecoutum,3213213213,USA,1924-02-02,NULL,NULL,NULL,NULL,n
14,123456,Gontran,Bonheur,3213213213,USA,1974-02-02,Gustave,1954-02-02,Daphnée,1954-02-02,n
15,123456,Gustave,Bohneur,3213213213,USA,1954-02-02,NULL,NULL,NULL,NULL,n
16,123456,Daphnée,Duck,3213213213,USA,1954-02-02,NULL,NULL,NULL,NULL,n
